scope,category,profile,legacy_api,canonical_name,variant,mean_cycles,zp_bytes,stack_page_reserved_bytes,source_path,source_sha256,validation_path,status,notes
shipped-profile,movement,v2_pareto_fast,MATH_SEEK8_STEP,seek_u8_u8_step,,87.136511,0,0,v2_pareto_fast/standalone/seek_u8_u8_step.asm,92c0eb678fcd56124a76774aacbe22a94f1988fcf3f5c2c2197c1078e3f53b5c,benchmarks/PUBLIC_PROFILE_RESULTS.csv,shipped,
shipped-profile,movement,v3_reu_512k,MATH_SEEK8_STEP,seek_u8_u8_step,,87.136511,0,0,v3_reu_512k/standalone/seek_u8_u8_step.asm,9c190db2fdab450b11eb8221ffb82af174ee13cd309a36b458b1bd44d60e390e,benchmarks/PUBLIC_PROFILE_RESULTS.csv,shipped,
shipped-profile,movement,v4_reu_16m,MATH_SEEK8_STEP,seek_u8_u8_step,,87.136511,0,0,v4_reu_16m/standalone/seek_u8_u8_step.asm,e647f01e3525625aa790fbba132733e9537a115035dafede575bdadd8f6bce1c,benchmarks/PUBLIC_PROFILE_RESULTS.csv,shipped,
shipped-profile,movement,v5_hybrid_lowzp,MATH_SEEK8_STEP,seek_u8_u8_step,,87.136511,0,0,v5_hybrid_lowzp/standalone/seek_u8_u8_step.asm,24c656c165953487b17bf68c0554fc345fd3fcaff82c6d73735990896f2337b7,benchmarks/PUBLIC_PROFILE_RESULTS.csv,shipped,
shipped-profile,movement,v1_balanced,MATH_SEEK8_STEP1,seek_u8_u8_step1,,65.953959,0,0,v1_balanced/standalone/seek_u8_u8_step1.asm,47bb3c6363651476e64a67ce35d3b17016802593bb5b0bde78c40d5d59fc31df,benchmarks/PUBLIC_PROFILE_RESULTS.csv,shipped,
shipped-profile,movement,v2_pareto_fast,MATH_SEEK8_STEP1,seek_u8_u8_step1,,65.953959,0,0,v2_pareto_fast/standalone/seek_u8_u8_step1.asm,21b464b20aa5940372d0b5966f497ac7e32f9448315d7842421b89875d7768f0,benchmarks/PUBLIC_PROFILE_RESULTS.csv,shipped,
shipped-profile,movement,v3_reu_512k,MATH_SEEK8_STEP1,seek_u8_u8_step1,,65.953959,0,0,v3_reu_512k/standalone/seek_u8_u8_step1.asm,8a1f58f7421802375ff413d79176d7252b38556aa7646e061d812b87bd9fbeab,benchmarks/PUBLIC_PROFILE_RESULTS.csv,shipped,
shipped-profile,movement,v4_reu_16m,MATH_SEEK8_STEP1,seek_u8_u8_step1,,65.953959,0,0,v4_reu_16m/standalone/seek_u8_u8_step1.asm,d5814ac55518cf5ddb6a174b2b3a7c011b820e664265b4a67210a001ad176e17,benchmarks/PUBLIC_PROFILE_RESULTS.csv,shipped,
shipped-profile,movement,v5_hybrid_lowzp,MATH_SEEK8_STEP1,seek_u8_u8_step1,,65.953959,0,0,v5_hybrid_lowzp/standalone/seek_u8_u8_step1.asm,a7e55b659c58b0af03828565491de71d4d596b4a9ef7a06ba0ca52b757c663bb,benchmarks/PUBLIC_PROFILE_RESULTS.csv,shipped,
shipped-profile,movement,v1_balanced,MATH_SEEK8_STEP_INT,seek_u8_u8_step_int,,70.992770,0,0,v1_balanced/standalone/seek_u8_u8_step_int.asm,ad20504dc6fd3a0fcfd5bec02cb67c98e97d2903a35808dcc762d0501b912b15,benchmarks/PUBLIC_PROFILE_RESULTS.csv,shipped,
shipped-profile,movement,v2_pareto_fast,MATH_SEEK8_STEP_INT,seek_u8_u8_step_int,,70.992770,0,0,v2_pareto_fast/standalone/seek_u8_u8_step_int.asm,533f0a602ef12cdcf6b9fa6a275fd44df49a3cf5350674205e1625fa98ecc150,benchmarks/PUBLIC_PROFILE_RESULTS.csv,shipped,
shipped-profile,movement,v3_reu_512k,MATH_SEEK8_STEP_INT,seek_u8_u8_step_int,,70.992770,0,0,v3_reu_512k/standalone/seek_u8_u8_step_int.asm,ae1ec49499f2635fd781adbd9623db02e251f090839773eb9eee4c6456e46cea,benchmarks/PUBLIC_PROFILE_RESULTS.csv,shipped,
shipped-profile,movement,v4_reu_16m,MATH_SEEK8_STEP_INT,seek_u8_u8_step_int,,70.992770,0,0,v4_reu_16m/standalone/seek_u8_u8_step_int.asm,4a24b35a89188553a126aa731fcb9ee80effcef0f4933bd4aee482e627d415e2,benchmarks/PUBLIC_PROFILE_RESULTS.csv,shipped,
shipped-profile,movement,v5_hybrid_lowzp,MATH_SEEK8_STEP_INT,seek_u8_u8_step_int,,70.992770,0,0,v5_hybrid_lowzp/standalone/seek_u8_u8_step_int.asm,55fddd371632d49af98063d8c6e01636d61191012399d182616b01bd53209cba,benchmarks/PUBLIC_PROFILE_RESULTS.csv,shipped,
shipped-profile,multiply,v1_balanced,MATH_SMUL16_SHR8,mul_s16_s16_s24_shr8,,333.867232,17,0,v1_balanced/standalone/mul_s16_s16_s24_shr8.asm,9a14a49f82505f7b980c6b96bede3cd1c20b9961346da878aaf7533484fa3822,benchmarks/PUBLIC_PROFILE_RESULTS.csv,shipped,
shipped-profile,multiply,v2_pareto_fast,MATH_SMUL16_SHR8,mul_s16_s16_s24_shr8,,293.411374,116,0,v2_pareto_fast/standalone/mul_s16_s16_s24_shr8.asm,6931c25e2e84cd6c0f052e7e0e9135ec63b67fc6d0f459f5f036c24575d7ec44,benchmarks/PUBLIC_PROFILE_RESULTS.csv,shipped,
shipped-profile,multiply,v3_reu_512k,MATH_SMUL16_SHR8,mul_s16_s16_s24_shr8,,293.411374,116,0,v3_reu_512k/standalone/mul_s16_s16_s24_shr8.asm,4eafa5d8ec9028071773349d06ef09742e334a8674c591395418c0403cee4b00,benchmarks/PUBLIC_PROFILE_RESULTS.csv,shipped,
shipped-profile,multiply,v4_reu_16m,MATH_SMUL16_SHR8,mul_s16_s16_s24_shr8,,293.411374,116,0,v4_reu_16m/standalone/mul_s16_s16_s24_shr8.asm,5a5d01100c832c16f56b0f3b574f611f975d0dd343147f4955a6e5a991a44b78,benchmarks/PUBLIC_PROFILE_RESULTS.csv,shipped,
shipped-profile,multiply,v5_hybrid_lowzp,MATH_SMUL16_SHR8,mul_s16_s16_s24_shr8,,333.867232,17,0,v5_hybrid_lowzp/standalone/mul_s16_s16_s24_shr8.asm,420b8f6b80fcf91a142454c1e005c84dcfe29f1d9cca7e259d9c0e1cd60c2c67,benchmarks/PUBLIC_PROFILE_RESULTS.csv,shipped,
shipped-profile,multiply,v1_balanced,MATH_SMUL16,mul_s16_s16_s32,,293.298407,17,0,v1_balanced/standalone/mul_s16_s16_s32.asm,5ec9b59717187673b470d24b60ff904f9eb91650a8e17842ec283dcb1ea1f38c,benchmarks/PUBLIC_PROFILE_RESULTS.csv,shipped,
shipped-profile,multiply,v2_pareto_fast,MATH_SMUL16,mul_s16_s16_s32,,252.324882,116,0,v2_pareto_fast/standalone/mul_s16_s16_s32.asm,fa93d590b9908df392981c681d76c6331b4cca965b5f3328edf24d5e4786e7de,benchmarks/PUBLIC_PROFILE_RESULTS.csv,shipped,
shipped-profile,multiply,v3_reu_512k,MATH_SMUL16,mul_s16_s16_s32,,252.623962,116,0,v3_reu_512k/standalone/mul_s16_s16_s32.asm,4f93bd6bd2a46188b42795dd0db149a63785dc007a9a77459dffce71196a85c4,benchmarks/PUBLIC_PROFILE_RESULTS.csv,shipped,
shipped-profile,multiply,v4_reu_16m,MATH_SMUL16,mul_s16_s16_s32,,252.662553,116,0,v4_reu_16m/standalone/mul_s16_s16_s32.asm,58a47d8e294447e523ff344ac1e40b71aebf8646145624f57577a2847ab151b5,benchmarks/PUBLIC_PROFILE_RESULTS.csv,shipped,
shipped-profile,multiply,v5_hybrid_lowzp,MATH_SMUL16,mul_s16_s16_s32,,292.974871,17,0,v5_hybrid_lowzp/standalone/mul_s16_s16_s32.asm,a17361252123388b133878798671d0ba55cafd5e95ee25d32c27f17562764e97,benchmarks/PUBLIC_PROFILE_RESULTS.csv,shipped,
shipped-profile,multiply,v1_balanced,MATH_SMUL24,mul_s24_s24_s48,,531.496472,24,0,v1_balanced/standalone/mul_s24_s24_s48.asm,ba1eadf0d6556b7512e9e1a8b9ae035230e49721cfc8c2f1e12df62cd62860cd,benchmarks/PUBLIC_PROFILE_RESULTS.csv,shipped,
shipped-profile,multiply,v2_pareto_fast,MATH_SMUL24,mul_s24_s24_s48,,487.181818,24,0,v2_pareto_fast/standalone/mul_s24_s24_s48.asm,a4504c18b6af09750e1d98b26235c5634c55e914898b05e63644bd96570dac4d,benchmarks/PUBLIC_PROFILE_RESULTS.csv,shipped,
shipped-profile,multiply,v3_reu_512k,MATH_SMUL24,mul_s24_s24_s48,,486.816106,24,0,v3_reu_512k/standalone/mul_s24_s24_s48.asm,b727b26e4105b6b523d91ede3823baa8272145d881ac8077144632f6ac1a053e,benchmarks/PUBLIC_PROFILE_RESULTS.csv,shipped,
shipped-profile,multiply,v4_reu_16m,MATH_SMUL24,mul_s24_s24_s48,,487.220008,24,0,v4_reu_16m/standalone/mul_s24_s24_s48.asm,b53d6aa431185e886455ec82d15585f618391c49899ca0eccb0f34be0527b739,benchmarks/PUBLIC_PROFILE_RESULTS.csv,shipped,
shipped-profile,multiply,v5_hybrid_lowzp,MATH_SMUL24,mul_s24_s24_s48,,530.874222,24,0,v5_hybrid_lowzp/standalone/mul_s24_s24_s48.asm,c1036028d6f1231f1a6e6bd3b9016b61b2f85b0a17112b6160007256d159b018,benchmarks/PUBLIC_PROFILE_RESULTS.csv,shipped,
standalone-alternative,multiply,,,mul_s24_s24_s48,fast24,400.301600,24,0,routines/multiply/mul_s24_s24_s48_fast24.asm,520a46e1acb4648924bbfea7e7c53c05aed9dbeb09b5fa80ee7071066fe8869c,validation/records/SMUL24_FAST24_2026-09-20.json,validated local standalone,200000-call secondary regression mean 400.058495; source derived from C64ML FAST24 plus Repose signed strategy
shipped-profile,multiply,v1_balanced,MATH_SMUL32_SHR16,mul_s32_s32_s48_shr16,,812.998853,31,0,v1_balanced/standalone/mul_s32_s32_s48_shr16.asm,60126ec820e37d8c8f358a787c0c818f055f460c2665d0de18c7a7e11b0151b2,benchmarks/PUBLIC_PROFILE_RESULTS.csv,shipped,
shipped-profile,multiply,v2_pareto_fast,MATH_SMUL32_SHR16,mul_s32_s32_s48_shr16,,812.998853,31,0,v2_pareto_fast/standalone/mul_s32_s32_s48_shr16.asm,5ae37e36834c117434e82b90b344f73c7ef9583c65433917dd379ea93264c70e,benchmarks/PUBLIC_PROFILE_RESULTS.csv,shipped,
shipped-profile,multiply,v3_reu_512k,MATH_SMUL32_SHR16,mul_s32_s32_s48_shr16,,812.998853,31,0,v3_reu_512k/standalone/mul_s32_s32_s48_shr16.asm,1630da7284f4038c103f7f2d551f6e7608d55c8640be6e3fb82b445918aa8ecd,benchmarks/PUBLIC_PROFILE_RESULTS.csv,shipped,
shipped-profile,multiply,v4_reu_16m,MATH_SMUL32_SHR16,mul_s32_s32_s48_shr16,,812.998853,31,0,v4_reu_16m/standalone/mul_s32_s32_s48_shr16.asm,64bc1aa9196cb654771a9dccf84ae98fafb78fc2bdb2a9cd32f9d20987fc4f1a,benchmarks/PUBLIC_PROFILE_RESULTS.csv,shipped,
shipped-profile,multiply,v5_hybrid_lowzp,MATH_SMUL32_SHR16,mul_s32_s32_s48_shr16,,812.998853,31,0,v5_hybrid_lowzp/standalone/mul_s32_s32_s48_shr16.asm,fb3306d5d257ce7ff4ee1342bc651dd975544f61aed964404052cb80b553aed7,benchmarks/PUBLIC_PROFILE_RESULTS.csv,shipped,
shipped-profile,multiply,v1_balanced,MATH_SMUL32,mul_s32_s32_s64,,744.569946,31,0,v1_balanced/standalone/mul_s32_s32_s64.asm,bf3049616f8a9ac6c7de717b0493599f71a5fefd686504d1907a1c37d4bd1e20,benchmarks/PUBLIC_PROFILE_RESULTS.csv,shipped,
shipped-profile,multiply,v2_pareto_fast,MATH_SMUL32,mul_s32_s32_s64,,743.605230,31,0,v2_pareto_fast/standalone/mul_s32_s32_s64.asm,240b5bc332c28478d3cfd28d20074814597b77dd12496d168a842f531f2cf8ac,benchmarks/PUBLIC_PROFILE_RESULTS.csv,shipped,
