kind,start,end,bytes,file
game_extension,$5E00,$5E38,57,math_v3_reu_512k_game_math.prg
game_extension,$9400,$9BFF,2048,math_v3_reu_512k_game_math.prg
game_extension,$C100,$CA3C,2365,math_v3_reu_512k_game_math.prg
init_patch,$32B0,$32B2,3,math_v3_reu_512k_game_math.prg
smul16_installer,$32C0,$32CD,14,math_v3_reu_512k_game_math.prg
smul16_zp_source,$CC00,$CC73,116,math_v3_reu_512k_game_math.prg
